50,61,49,94
96,27,34,88
35,66,91,56
59,69,37,63
23,75,12,59
76,46,79,21
26,9,39,31
51,23,25,48
70,92,41,24
90,16,10,85
96,83,14,20
55,54,95,23
14,100,96,18
15,8,58,23
26,45,6,44
85,11,24,32
26,97,36,93
82,1,83,44
25,78,2,19
93,82,5,91
35,87,17,98
20,9,65,44
26,40,74,12
62,26,65,26
48,81,46,41
36,44,55,60
84,92,30,27
59,19,75,61
55,27,19,72
92,15,69,23
29,14,19,12
76,87,37,30
76,58,63,32
39,55,79,43
57,15,9,51
8,86,93,9
6,63,78,27
54,36,49,81
78,52,44,3
94,41,45,93
13,8,31,74
57,24,51,49
47,13,52,58
2,19,82,24
34,24,80,46
17,42,65,97
80,5,38,55
32,91,82,53
53,95,54,24
17,50,36,49
